wave,win,mean,rms,std,ptp,crest,kurt,zcr,dom_freq,e_1x,e_2x,e_bpfo,e_hi
normal,0,0.033179,0.268222,0.268222,1.120519,2.105592,1.881605,0.094118,31.25,0.812731,0.07986,0.010273,0.075218
normal,1,0.034348,0.267252,0.267252,1.082387,2.108864,1.8161,0.101961,31.25,0.783831,0.104637,0.012071,0.07346
normal,2,0.035819,0.266659,0.266659,1.073746,2.066606,1.866997,0.101961,31.25,0.768852,0.090345,0.014779,0.09351
normal,3,0.032066,0.273705,0.273705,1.11386,2.146254,1.871754,0.101961,31.25,0.781333,0.091402,0.009944,0.080761
normal,4,0.03185,0.278792,0.278792,1.17845,2.122243,1.903751,0.086275,31.25,0.794121,0.075966,0.00981,0.088224
normal,5,0.033513,0.277099,0.277099,1.17845,2.141207,1.964093,0.086275,31.25,0.814939,0.074464,0.009296,0.07093
normal,6,0.032237,0.266731,0.266731,1.097469,2.148025,1.977337,0.078431,31.25,0.805643,0.076991,0.006041,0.080927
normal,7,0.033743,0.26202,0.26202,1.136117,2.442082,1.94968,0.070588,31.25,0.779957,0.08449,0.014909,0.0852
normal,8,0.033512,0.262585,0.262585,1.136117,2.435948,1.888451,0.109804,31.25,0.775209,0.098395,0.009223,0.081304
normal,9,0.034133,0.263675,0.263675,1.072101,2.165979,1.947837,0.109804,31.25,0.75773,0.094842,0.012182,0.093682
normal,10,0.040587,0.268317,0.268317,1.162318,2.253612,2.07783,0.098039,31.25,0.801058,0.070115,0.016346,0.085975
normal,11,0.048333,0.27306,0.27306,1.213511,2.242833,1.997407,0.086275,31.25,0.794211,0.081555,0.013149,0.087723
normal,12,0.045281,0.278037,0.278037,1.221775,2.221429,1.952393,0.078431,31.25,0.789693,0.089279,0.010229,0.085787
normal,13,0.034504,0.274693,0.274693,1.093961,2.20924,1.917869,0.101961,31.25,0.798953,0.083043,0.010113,0.08135
normal,14,0.035514,0.270225,0.270225,1.101968,2.041578,1.904204,0.109804,31.25,0.804574,0.084417,0.009442,0.075304
normal,15,0.044728,0.269981,0.269981,1.101968,2.077552,1.870595,0.101961,31.25,0.814689,0.070618,0.01158,0.074724
normal,16,0.044729,0.27065,0.27065,1.042134,1.995824,1.845071,0.094118,31.25,0.800576,0.09263,0.011886,0.072387
normal,17,0.04049,0.264712,0.264712,1.088233,2.198732,1.998152,0.101961,31.25,0.791838,0.076004,0.014673,0.08897
normal,18,0.043469,0.263313,0.263313,1.116892,2.273966,2.021559,0.109804,31.25,0.817473,0.068388,0.012806,0.07384
normal,19,0.043115,0.263192,0.263192,1.116892,2.273659,1.965471,0.094118,31.25,0.791143,0.089422,0.017216,0.075484
normal,20,0.042642,0.261209,0.261209,1.024455,2.023023,1.920331,0.094118,31.25,0.798356,0.075958,0.010587,0.0767
normal,21,0.04679,0.265265,0.265265,1.02176,2.01168,1.919803,0.109804,31.25,0.797362,0.087648,0.015596,0.071399
normal,22,0.045058,0.265465,0.265465,1.051588,2.115999,1.949273,0.109804,31.25,0.796864,0.0804,0.012353,0.090152
normal,23,0.045632,0.262099,0.262099,1.049943,2.14537,1.994783,0.101961,31.25,0.805377,0.095499,0.007128,0.062949
normal,24,0.043323,0.258937,0.258937,1.01185,2.015536,1.959823,0.078431,31.25,0.815951,0.069876,0.008402,0.07515
normal,25,0.038553,0.263836,0.263836,0.984896,1.929083,1.899666,0.082353,31.25,0.80441,0.075507,0.011889,0.078009
normal,26,0.040415,0.26492,0.26492,1.118973,2.255003,1.959265,0.086275,31.25,0.783579,0.082286,0.007321,0.101049
normal,27,0.034134,0.262203,0.262203,1.118973,2.254414,1.93309,0.101961,31.25,0.776981,0.089154,0.015832,0.082672
normal,28,0.031104,0.265654,0.265654,1.035058,2.087265,1.840455,0.078431,31.25,0.765322,0.100048,0.027068,0.081165
normal,29,0.037814,0.267174,0.267174,1.05135,2.100506,1.820833,0.109804,31.25,0.78367,0.08815,0.01478,0.088081
imbalance,0,-0.032336,0.520817,0.520817,1.967019,1.91202,1.92393,0.090196,31.25,0.858085,0.082187,0.009426,0.0239
imbalance,1,-0.03695,0.522127,0.522127,2.017645,2.013022,1.943577,0.098039,31.25,0.860351,0.083115,0.009284,0.019333
imbalance,2,-0.05475,0.517614,0.517614,2.051646,2.16477,1.966353,0.070588,31.25,0.854346,0.09386,0.010063,0.017355
imbalance,3,-0.06217,0.515124,0.515124,2.001341,2.189636,1.950575,0.078431,31.25,0.839957,0.093598,0.011694,0.021809
imbalance,4,-0.067903,0.516319,0.516319,1.892666,1.918581,1.913987,0.094118,31.25,0.842809,0.086419,0.012168,0.019928
imbalance,5,-0.068627,0.523867,0.523867,2.003945,2.104738,1.95255,0.101961,31.25,0.86367,0.075831,0.015996,0.020033
imbalance,6,-0.067702,0.524422,0.524422,2.028563,2.202798,2.01774,0.094118,31.25,0.837971,0.096235,0.015341,0.020274
imbalance,7,-0.069008,0.517763,0.517763,2.013578,2.233649,1.962966,0.12549,31.25,0.830675,0.099146,0.011626,0.029327
imbalance,8,-0.058766,0.521272,0.521272,1.997059,2.218674,1.929833,0.12549,31.25,0.841304,0.095273,0.010022,0.019203
imbalance,9,-0.047707,0.533019,0.533019,2.053073,2.149029,1.923053,0.117647,31.25,0.853887,0.082739,0.006773,0.019554
imbalance,10,-0.047585,0.527642,0.527642,1.97444,1.980831,1.88159,0.094118,31.25,0.855024,0.079567,0.011387,0.025079
imbalance,11,-0.048752,0.51897,0.51897,1.97444,2.016179,1.852451,0.082353,31.25,0.851455,0.075022,0.0086,0.031637
imbalance,12,-0.048003,0.518222,0.518222,1.970337,2.065493,1.866745,0.07451,31.25,0.859313,0.096216,0.003687,0.020306
imbalance,13,-0.046286,0.515192,0.515192,1.970337,2.074308,1.871735,0.062745,31.25,0.846179,0.088319,0.00887,0.02992
imbalance,14,-0.044937,0.515798,0.515798,1.934338,2.022843,1.844619,0.062745,31.25,0.849455,0.090122,0.008371,0.020948
imbalance,15,-0.044933,0.523513,0.523513,2.061065,2.089862,1.913096,0.098039,31.25,0.859237,0.082322,0.00976,0.022558
imbalance,16,-0.041252,0.525375,0.525375,2.13688,2.075454,1.899783,0.105882,31.25,0.8451,0.087926,0.008149,0.027845
imbalance,17,-0.044001,0.523458,0.523458,2.118435,2.053067,1.875909,0.090196,31.25,0.856042,0.08089,0.006335,0.0289
imbalance,18,-0.044642,0.522661,0.522661,2.033558,2.057423,1.92437,0.117647,31.25,0.846026,0.092905,0.005344,0.025897
imbalance,19,-0.035275,0.527781,0.527781,1.954995,1.921698,1.920957,0.109804,31.25,0.833917,0.107621,0.009437,0.022439
imbalance,20,-0.032977,0.522057,0.522057,1.954995,1.938364,1.897188,0.101961,31.25,0.857004,0.082115,0.006927,0.019189
imbalance,21,-0.024111,0.509565,0.509565,2.039944,2.08436,1.906251,0.12549,31.25,0.854226,0.087695,0.008137,0.027929
imbalance,22,-0.013453,0.520017,0.520017,2.039944,2.021974,1.917144,0.12549,31.25,0.847988,0.083825,0.008703,0.027677
imbalance,23,-0.023358,0.526347,0.526347,1.983288,1.949705,1.865942,0.094118,31.25,0.839006,0.095556,0.014603,0.017274
imbalance,24,-0.02325,0.525154,0.525154,2.149474,2.270386,1.948665,0.078431,31.25,0.850685,0.094921,0.00946,0.018322
imbalance,25,-0.017531,0.520363,0.520363,2.13531,2.280297,2.000532,0.101961,31.25,0.826379,0.110231,0.009142,0.027859
imbalance,26,-0.025438,0.515875,0.515875,1.900908,1.898983,1.904773,0.086275,31.25,0.859466,0.072859,0.009318,0.019786
imbalance,27,-0.03647,0.523188,0.523188,1.917177,1.922234,1.855874,0.101961,31.25,0.856637,0.086753,0.008744,0.023758
imbalance,28,-0.042963,0.528889,0.528889,2.098848,2.147938,1.890237,0.113725,31.25,0.844796,0.089045,0.011552,0.019576
imbalance,29,-0.052689,0.520718,0.520718,2.098848,2.200319,1.947772,0.105882,31.25,0.840653,0.092305,0.010317,0.025432
bearing,0,-0.012901,0.27805,0.27805,1.792376,3.754127,4.576361,0.247059,31.25,0.331553,0.021746,0.011228,0.357479
bearing,1,-0.006995,0.271269,0.271269,1.792376,3.826199,3.959827,0.247059,31.25,0.351117,0.047121,0.014117,0.288676
bearing,2,0.022075,0.254532,0.254532,1.476705,3.397683,3.072194,0.247059,31.25,0.377661,0.051043,0.003945,0.368669
bearing,3,0.026793,0.261934,0.261934,1.594429,3.817996,3.920148,0.243137,31.25,0.43621,0.028148,0.008648,0.272956
bearing,4,-0.006461,0.265127,0.265127,1.656966,3.897441,4.201923,0.215686,31.25,0.36652,0.038981,0.003614,0.319459
bearing,5,-0.023472,0.255016,0.255016,1.432327,3.237797,3.432788,0.243137,31.25,0.386508,0.017711,0.003818,0.316224
bearing,6,-0.008886,0.266083,0.266083,1.511837,3.659843,4.084155,0.231373,31.25,0.375947,0.044248,0.004744,0.315049
bearing,7,0.016119,0.275593,0.275593,1.569728,3.442815,3.572334,0.203922,31.25,0.36735,0.042025,0.008798,0.343209
bearing,8,0.031739,0.271529,0.271529,1.508186,3.210173,2.981174,0.219608,31.25,0.3803,0.029323,0.006039,0.310768
bearing,9,0.007284,0.258636,0.258636,1.42621,3.464751,3.397091,0.231373,31.25,0.388158,0.03935,0.009121,0.291475
bearing,10,-0.01502,0.251241,0.251241,1.447499,3.591533,3.310857,0.219608,31.25,0.397497,0.027342,0.012271,0.317231
bearing,11,-0.001603,0.269141,0.269141,1.579068,3.791663,4.540686,0.239216,31.25,0.340892,0.027456,0.007831,0.353121
bearing,12,0.019066,0.270838,0.270838,1.584947,3.691604,4.217968,0.203922,31.25,0.414883,0.033222,0.007397,0.2827
bearing,13,0.026714,0.25836,0.25836,1.459446,3.354534,3.223798,0.223529,31.25,0.433885,0.028582,0.018972,0.278016
bearing,14,-0.000752,0.250554,0.250554,1.395724,3.31774,3.286629,0.215686,31.25,0.446211,0.012683,0.012056,0.296433
bearing,15,-0.014266,0.255753,0.255753,1.590257,4.064688,4.639197,0.25098,31.25,0.386001,0.061534,0.007418,0.287548
bearing,16,0.009363,0.263719,0.263719,1.653553,3.85231,4.529868,0.247059,31.25,0.43703,0.047757,0.013764,0.26353
bearing,17,0.03008,0.264461,0.264461,1.52132,3.263157,3.066358,0.219608,31.25,0.378505,0.030204,0.007405,0.348008
bearing,18,0.023058,0.266747,0.266747,1.354618,2.896258,2.717149,0.207843,31.25,0.396075,0.033529,0.011691,0.285487
bearing,19,-0.003472,0.266206,0.266206,1.486993,3.374399,3.257321,0.247059,31.25,0.307395,0.046707,0.008611,0.369888
bearing,20,-0.013239,0.265901,0.265901,1.612825,3.546419,3.972283,0.298039,31.25,0.377964,0.031472,0.007277,0.31896
bearing,21,0.001851,0.266807,0.266807,1.612825,3.477811,3.452418,0.270588,31.25,0.383128,0.045393,0.007766,0.306752
bearing,22,0.025998,0.276287,0.276287,1.609127,3.225785,3.169118,0.254902,31.25,0.250691,0.053344,0.005208,0.480939
bearing,23,0.02294,0.271946,0.271946,1.609127,3.288516,3.129365,0.215686,31.25,0.374911,0.033389,0.005931,0.361146
bearing,24,-0.010484,0.264925,0.264925,1.558538,3.218886,3.070808,0.286275,31.25,0.42028,0.044056,0.002485,0.272735
bearing,25,-0.020092,0.251972,0.251972,1.558538,3.422496,3.052893,0.258824,31.25,0.334326,0.043151,0.010388,0.404598
bearing,26,0.005681,0.254665,0.254665,1.463808,3.318607,3.605508,0.223529,31.25,0.32316,0.043609,0.002723,0.358948
bearing,27,0.027696,0.271074,0.271074,1.714999,3.963154,4.146494,0.243137,31.25,0.370083,0.037623,0.014149,0.357432
bearing,28,0.020607,0.271769,0.271769,1.93741,3.979109,4.018749,0.27451,31.25,0.487018,0.048069,0.013105,0.247717
bearing,29,-0.003925,0.270803,0.270803,2.388965,5.751347,7.032679,0.247059,31.25,0.296855,0.042468,0.012365,0.421016
unknown,0,-0.03945,0.414592,0.414592,1.934736,2.425196,2.336807,0.321569,328.125,0.203775,0.019418,0.012662,0.050873
unknown,1,-0.042308,0.411367,0.411367,1.875574,2.451158,2.225095,0.321569,328.125,0.207391,0.017103,0.007019,0.07085
unknown,2,-0.043734,0.412983,0.412983,1.71076,2.099073,2.058989,0.321569,328.125,0.152212,0.019619,0.01638,0.049054
unknown,3,-0.051237,0.423792,0.423792,2.006472,2.400143,2.207061,0.329412,328.125,0.150366,0.017975,0.005262,0.06045
unknown,4,-0.054188,0.431999,0.431999,2.006472,2.361375,2.253084,0.321569,328.125,0.204656,0.019492,0.00693,0.072731
unknown,5,-0.033,0.423793,0.423793,1.817588,2.293008,2.090951,0.321569,328.125,0.190619,0.017612,0.001607,0.065493
unknown,6,-0.027979,0.417401,0.417401,1.714571,2.105823,2.078776,0.337255,328.125,0.179096,0.023646,0.008365,0.035796
unknown,7,-0.024977,0.407318,0.407318,1.689738,2.104356,2.12148,0.329412,328.125,0.146954,0.018294,0.004544,0.066146
unknown,8,-0.032127,0.399078,0.399078,1.776178,2.246302,2.203797,0.321569,328.125,0.170711,0.014826,0.006835,0.060976
unknown,9,-0.06128,0.394442,0.394442,1.776178,2.304219,2.327175,0.337255,328.125,0.165082,0.009721,0.006016,0.065351
unknown,10,-0.065057,0.388434,0.388434,1.730544,2.311215,2.219856,0.341176,328.125,0.145366,0.019408,0.005426,0.056945
unknown,11,-0.055865,0.410233,0.410233,1.755854,2.210806,2.114412,0.329412,328.125,0.147077,0.033549,0.003536,0.051626
unknown,12,-0.036585,0.42422,0.42422,1.871033,2.327388,2.136396,0.329412,328.125,0.123829,0.014961,0.001813,0.062172
unknown,13,-0.039438,0.422073,0.422073,2.05833,2.544248,2.243616,0.329412,328.125,0.161013,0.007546,0.009106,0.058717
unknown,14,-0.051026,0.417807,0.417807,1.91927,2.597963,2.105865,0.321569,328.125,0.147443,0.01178,0.004055,0.052337
unknown,15,-0.053895,0.411569,0.411569,1.694374,2.130279,1.973096,0.321569,328.125,0.145426,0.033634,0.005559,0.050377
unknown,16,-0.043459,0.405953,0.405953,1.716889,2.134041,2.075203,0.329412,328.125,0.148931,0.017253,0.009523,0.068179
unknown,17,-0.027562,0.405797,0.405797,1.887483,2.373183,2.255774,0.329412,328.125,0.152061,0.017191,0.00171,0.054309
unknown,18,-0.043095,0.409315,0.409315,1.974558,2.425649,2.429263,0.329412,328.125,0.166689,0.007211,0.014688,0.091637
unknown,19,-0.050758,0.399832,0.399832,1.974558,2.502346,2.349177,0.337255,328.125,0.192773,0.014549,0.014522,0.062996
unknown,20,-0.048323,0.408848,0.408848,1.855282,2.353636,2.216971,0.341176,328.125,0.167413,0.041575,0.002799,0.073935
unknown,21,-0.05473,0.40809,0.40809,1.836387,2.34231,2.155934,0.337255,328.125,0.19213,0.029988,0.006832,0.061443
