wave,win,mean,rms,std,ptp,crest,kurt,zcr
normal,0,-0.065598,0.300656,0.300656,1.500105,2.610028,2.512992,0.286275
normal,1,-0.048932,0.277435,0.277435,1.441824,3.345277,2.40539,0.262745
normal,2,-0.031254,0.293681,0.293681,1.692982,3.100031,2.862615,0.247059
normal,3,-0.03919,0.301304,0.301304,1.623137,2.81613,2.867259,0.262745
normal,4,-0.033098,0.299891,0.299891,1.582117,2.946533,2.74015,0.298039
normal,5,-0.026711,0.303675,0.303675,1.582117,2.888793,2.625974,0.32549
normal,6,-0.03967,0.304167,0.304167,1.535629,2.809742,2.759338,0.301961
normal,7,-0.056366,0.304656,0.304656,1.515305,2.793325,2.797583,0.278431
normal,8,-0.064784,0.290569,0.290569,1.441338,2.793589,2.561811,0.278431
normal,9,-0.061502,0.287824,0.287824,1.384459,2.611213,2.495003,0.290196
normal,10,-0.056767,0.298737,0.298737,1.467702,2.552101,2.468639,0.298039
normal,11,-0.038574,0.303203,0.303203,1.467702,2.454513,2.338726,0.27451
normal,12,-0.021191,0.306032,0.306032,1.413113,2.402334,2.373484,0.309804
normal,13,-0.031474,0.312949,0.312949,1.635846,3.093814,2.53353,0.282353
normal,14,-0.024547,0.314862,0.314862,1.574531,3.053016,2.444384,0.262745
normal,15,-0.017039,0.315364,0.315364,1.431605,2.527393,2.352197,0.25098
normal,16,-0.035329,0.310016,0.310016,1.422044,2.59545,2.395824,0.282353
normal,17,-0.044202,0.307879,0.307879,1.396682,2.554616,2.640542,0.278431
normal,18,-0.05188,0.306977,0.306977,1.494724,2.587128,2.710885,0.258824
normal,19,-0.056261,0.307363,0.307363,1.674147,2.808704,2.786801,0.282353
normal,20,-0.04905,0.310253,0.310253,1.674147,2.759304,2.859714,0.286275
normal,21,-0.045536,0.302288,0.302288,1.572613,3.253514,2.98525,0.282353
normal,22,-0.055957,0.302971,0.302971,1.654624,3.280576,2.967261,0.278431
normal,23,-0.053642,0.301681,0.301681,1.565457,2.812128,2.599696,0.266667
normal,24,-0.047913,0.290761,0.290761,1.473684,2.582411,2.573226,0.282353
normal,25,-0.067023,0.289736,0.289736,1.420642,2.510888,2.484482,0.290196
normal,26,-0.060139,0.294691,0.294691,1.488226,2.604816,2.420037,0.27451
normal,27,-0.050598,0.303347,0.303347,1.549742,2.561943,2.495379,0.298039
normal,28,-0.064553,0.306836,0.306836,1.517796,2.709198,2.676893,0.321569
normal,29,-0.059318,0.296234,0.296234,1.517796,2.788483,2.663346,0.337255
imbalance,0,-0.019457,0.575656,0.575656,2.371037,2.076249,1.993356,0.12549
imbalance,1,-0.026797,0.571277,0.571277,2.320003,2.10501,1.9845,0.133333
imbalance,2,-0.038155,0.560282,0.560282,2.398252,2.257697,2.061894,0.094118
imbalance,3,-0.028151,0.571153,0.571153,2.381395,2.232238,2.065227,0.101961
imbalance,4,-0.032727,0.566204,0.566204,2.17835,1.926835,1.954837,0.101961
imbalance,5,-0.034189,0.547674,0.547674,2.149835,1.988102,1.942827,0.117647
imbalance,6,-0.033794,0.554811,0.554811,2.087059,1.953215,1.98652,0.12549
imbalance,7,-0.035224,0.565276,0.565276,2.26096,2.201392,2.004473,0.117647
imbalance,8,-0.031448,0.563664,0.563664,2.369276,2.214386,2.089634,0.117647
imbalance,9,-0.03225,0.561609,0.561609,2.333925,2.158119,2.10135,0.101961
imbalance,10,-0.019703,0.561387,0.561387,2.277314,2.031232,2.024154,0.109804
imbalance,11,-0.019812,0.566238,0.566238,2.240538,2.014022,2.023209,0.101961
imbalance,12,-0.025293,0.57224,0.57224,2.332667,2.097741,2.027832,0.109804
imbalance,13,-0.030764,0.575723,0.575723,2.443751,2.150111,2.089191,0.117647
imbalance,14,-0.041208,0.571698,0.571698,2.441151,2.176465,2.145379,0.109804
imbalance,15,-0.031978,0.575966,0.575966,2.323567,2.176363,2.10023,0.101961
imbalance,16,-0.02244,0.584175,0.584175,2.26335,2.059025,1.959797,0.086275
imbalance,17,-0.018193,0.585654,0.585654,2.350405,2.057784,1.903296,0.101961
imbalance,18,-0.019712,0.574978,0.574978,2.350405,2.093351,1.984779,0.133333
imbalance,19,-0.027087,0.565051,0.565051,2.301384,2.063791,2.024526,0.133333
imbalance,20,-0.023212,0.57319,0.57319,2.221332,2.041246,2.003542,0.109804
imbalance,21,-0.026496,0.579981,0.579981,2.136248,1.973582,1.977366,0.109804
imbalance,22,-0.031405,0.574957,0.574957,2.453982,2.335215,2.055751,0.109804
imbalance,23,-0.029515,0.566705,0.566705,2.453982,2.372554,2.10395,0.12549
imbalance,24,-0.024665,0.559305,0.559305,2.039841,1.884192,1.980425,0.109804
imbalance,25,-0.022318,0.559198,0.559198,2.123542,1.909555,1.966792,0.094118
imbalance,26,-0.03047,0.563237,0.563237,2.1209,1.910334,1.976693,0.109804
imbalance,27,-0.035119,0.569992,0.569992,2.356402,2.184836,1.992576,0.133333
imbalance,28,-0.024334,0.565545,0.565545,2.356402,2.221084,2.09338,0.12549
imbalance,29,-0.008792,0.564335,0.564335,2.266369,2.149135,2.052202,0.117647
bearing,0,0.032123,0.256662,0.256662,1.511993,3.66317,3.647505,0.27451
bearing,1,0.028074,0.24845,0.24845,1.515199,3.800544,4.027337,0.321569
bearing,2,0.029265,0.260552,0.260552,1.590837,3.909742,3.469569,0.286275
bearing,3,0.038255,0.258038,0.258038,1.517372,3.913002,3.240967,0.207843
bearing,4,0.047754,0.247113,0.247113,1.40386,2.953812,2.86137,0.223529
bearing,5,0.054089,0.245974,0.245974,1.383338,2.858297,3.127357,0.254902
bearing,6,0.05224,0.239623,0.239623,1.476735,3.411798,3.513951,0.290196
bearing,7,0.052305,0.247673,0.247673,1.436355,3.300643,3.6204,0.317647
bearing,8,0.039413,0.256333,0.256333,1.421913,3.217732,3.367581,0.32549
bearing,9,0.029086,0.244364,0.244364,1.490809,3.417591,3.037275,0.290196
bearing,10,0.037924,0.255196,0.255196,1.833816,4.581994,4.846184,0.282353
bearing,11,0.028431,0.264036,0.264036,1.767683,4.464535,4.952432,0.27451
bearing,12,0.032427,0.248685,0.248685,1.549684,3.661518,3.220687,0.254902
bearing,13,0.045289,0.234548,0.234548,1.291563,2.973253,2.93605,0.247059
bearing,14,0.050942,0.234811,0.234811,1.412886,3.023121,2.97922,0.243137
bearing,15,0.060449,0.231348,0.231348,1.354638,3.02728,2.756182,0.27451
bearing,16,0.060064,0.232867,0.232867,1.409828,3.581453,3.47171,0.247059
bearing,17,0.044561,0.247218,0.247218,1.426739,3.436257,3.337717,0.239216
bearing,18,0.028376,0.247253,0.247253,1.441181,3.369349,2.822057,0.262745
bearing,19,0.027328,0.25,0.25,1.462108,3.420233,3.31081,0.286275
bearing,20,0.033001,0.24964,0.24964,1.486203,3.402435,2.938215,0.266667
bearing,21,0.03562,0.244331,0.244331,1.180371,2.617091,2.209588,0.219608
bearing,22,0.042114,0.243969,0.243969,1.166371,2.697858,2.226892,0.231373
bearing,23,0.052039,0.244401,0.244401,1.413439,3.460335,2.792846,0.266667
bearing,24,0.05203,0.253639,0.253639,1.469182,3.554121,3.471929,0.278431
bearing,25,0.05787,0.24961,0.24961,1.450724,3.588094,3.231512,0.266667
bearing,26,0.057379,0.247351,0.247351,1.327448,2.903714,2.747917,0.286275
bearing,27,0.047065,0.252607,0.252607,1.327448,2.884129,2.526537,0.223529
bearing,28,0.037021,0.247106,0.247106,1.316984,3.31505,2.519753,0.219608
bearing,29,0.029381,0.2462,0.2462,1.354417,3.358282,2.714488,0.247059
